im_id,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,visual,gt
COCO_train2014_000000000036.jpg,ie,te,t,ir,r,k,12,if,tc,re,umbrella,e
COCO_train2014_000000000064.jpg,fol,rod,rd,pol,rel,rot,aol,poi,roil,ru,analog,roi
COCO_train2014_000000000394.jpg,9,o,q,lsd,0,69,usp,sj,s,gi,toy,skimmer
COCO_train2014_000000000542.jpg,kg,iq,hq,kl,ks,kc,ky,59,hg,tgi,warplane,ts
COCO_train2014_000000000643.jpg,oas,ow,orr,ora,om,org,ova,on,oms,ocr,desktop,dell
COCO_train2014_000000001204.jpg,ra,rd,kc,ko,rc,ria,rna,kia,rm,rig,football,ril
COCO_train2014_000000001264.jpg,enjoy,kurt,nix,taipei,aa,fairy,six,eliot,satay,rift,stethoscope,first
COCO_train2014_000000001308.jpg,elegiac,electric,illegible,elector,electable,eleazar,bicycle,eligible,electrode,clickable,paddle,aleman
COCO_train2014_000000001315.jpg,527,sdi,sou,sgt,sci,54,sol,571,sv,507,motor,5927
COCO_train2014_000000001431.jpg,dost,goff,goes,gobi,odes,does,noes,doff,oort,ooze,stage,globe
COCO_train2014_000000001505.jpg,w,in,un,uv,lxi,wi,xxv,mn,iv,m,bell,court
COCO_train2014_000000001681.jpg,e,h,f,b,r,k,g,5,8,a,wall,javascript
COCO_train2014_000000001815.jpg,tqm,fm,icon,fem,lcm,ibm,km,econ,iron,ism,racket,lacoste
COCO_train2014_000000001875.jpg,1026,opp,copa,iorio,logo,op,ox,ope,orb,1996,trolleybus,20
COCO_train2014_000000001911.jpg,copyrights,convicting,cognizance,convulsive,berrylike,corvallis,capuchin,copulative,corvette,convoking,dogsled,copyright
COCO_train2014_000000002007.jpg,11,li,ii,22,t,l,ll,il,4,h,racket,17
COCO_train2014_000000002374.jpg,boa,bola,bada,boar,bods,edda,baa,bobbi,bogon,boor,pizza,bada
COCO_train2014_000000002377.jpg,c,ie,tc,e,r,t,te,k,io,lc,airship,6
COCO_train2014_000000002466.jpg,ne,he,nf,ns,ae,we,nb,de,ye,me,restaurant,ne
COCO_train2014_000000002567.jpg,under,linder,index,linden,umber,wider,tinder,vader,imper,undies,kimono,under
COCO_train2014_000000002623.jpg,kane,inane,mane,wane,crane,jeanie,name,vane,frame,bane,boathouse,kane
COCO_train2014_000000002658.jpg,good,2008,2009,coos,2000,2002,food,goon,zoos,goo,basketball,good
COCO_train2014_000000002755.jpg,7,2,1,q,9,z,r,j,i,p,ballplayer,7
COCO_train2014_000000002892.jpg,capon,econ,eager,kapok,radon,gabon,bacon,cocoa,cedar,bogon,pomegranate,mook
COCO_train2014_000000002964.jpg,helve,wellie,delve,valve,relive,volvo,verve,weave,yelps,waive,toaster,velve
COCO_train2014_000000003157.jpg,dj,bl,33,bs,83,3,bi,ids,by,165,racket,b
COCO_train2014_000000003602.jpg,division,divisor,dyson,obviation,derision,envision,diversion,delusion,divisive,dungeon,street,division
COCO_train2014_000000003967.jpg,orates,operators,quaffs,snorters,goatee,drafty,oafs,carafes,orator,doffs,swing,raffy
COCO_train2014_000000004138.jpg,ia,la,ln,tx,in,ga,lpn,lea,a,tn,swab,a
COCO_train2014_000000004527.jpg,gomez,dmz,bowel,comet,lionel,counci,spinet,dowel,lopez,nunez,ballplayer,gomez
COCO_train2014_000000004716.jpg,eben,liken,chen,eked,chem,elem,efren,been,then,tehran,racket,eken
COCO_train2014_000000004719.jpg,8,s,g,e,f,p,6,5,3,9,hotdog,per
COCO_train2014_000000004741.jpg,pillage,village,triage,millage,spillage,pilings,splurge,tillage,mince,vulvae,thatch,village
COCO_train2014_000000005088.jpg,nodded,modded,mower,nodes,nooses,wonder,wooer,hooded,noose,rodger,airliner,n900eb
COCO_train2014_000000005113.jpg,f,t,e,r,ie,l,b,p,z,k,mouse,e
COCO_train2014_000000005294.jpg,hi,nj,iii,ni,xii,il,111,my,a11,shiv,minivan,ma
COCO_train2014_000000005424.jpg,irk,rx,iron,hdr,kris,link,krog,ink,iras,iris,wooden,rok
COCO_train2014_000000005641.jpg,many,mani,manny,maw,infamy,manx,nam,mam,mann,mm,cellular,many
COCO_train2014_000000005755.jpg,rite,rte,ritz,rive,rate,rife,kite,rile,pie,rue,shopping,rite
COCO_train2014_000000005883.jpg,dijon,putout,wu,um,won,widow,plow,bijou,glow,wow,cinema,cocoa
COCO_train2014_000000006225.jpg,gs,ga,iyer,qr,ge,gi,iga,gr,gb,go,marimba,gersch
COCO_train2014_000000006332.jpg,rs,b,rag,ts,nj,n,is,rx,ks,taj,thatch,gayombicol
COCO_train2014_000000006428.jpg,mejia,irvin,impacting,wylie,inspecting,innovating,impeding,main,impetus,immigrating,monitor,dell
COCO_train2014_000000006578.jpg,canto,santa,sarto,scanted,sento,banjo,seato,panto,sand,seamed,hand,santd
COCO_train2014_000000006990.jpg,individualistically,individualization,nanotechnologies,immunodeficient,microbiologists,ambassadorships,noninterchangeable,ophthalmologists,anesthesiologist,anesthesiologists,viaduct,www
COCO_train2014_000000007228.jpg,n,10,id,w,sq,sd,iq,o,m,io,crutch,10
COCO_train2014_000000007823.jpg,for,fdr,fop,fox,tor,eoe,far,cor,four,foe,street,for
COCO_train2014_000000008339.jpg,1957,last,least,lass,kass,lest,4447,deist,lust,east,motor,police
COCO_train2014_000000008379.jpg,parking,partaking,ranking,packing,parkland,farthing,parting,yanking,perking,barking,pole,parking
COCO_train2014_000000008830.jpg,juice,we,quiet,juliet,twee,luigi,quick,lure,wei,junes,apiary,we
COCO_train2014_000000008848.jpg,qt,r,t,crt,m,np,ere,ore,opt,n,quilt,1
COCO_train2014_000000009138.jpg,millionth,billionth,razzberriez,avicenna,trillionth,iphigenia,rawboned,reticently,millennial,fifteenth,airliner,zzz
COCO_train2014_000000009398.jpg,d,u,13,15,0,6,25,o,w,vj,banana,u
COCO_train2014_000000009509.jpg,j,7,i,2,1,y,t,r,4,ii,bell,1
COCO_train2014_000000009797.jpg,rejoin,retain,kzon,eton,ritalin,retrain,attain,retold,rich,etch,ski,rton
COCO_train2014_000000010084.jpg,less,lesa,tessa,jesse,lease,loss,lcsw,ipad,jesus,lifesaver,streetcar,2613
COCO_train2014_000000010230.jpg,canadian,canadians,gandhian,cambium,vanadium,candidly,cambodians,candlelit,gamboling,candidate,ballplayer,canadian
COCO_train2014_000000010265.jpg,chase,chose,chge,chaste,chaise,blase,erase,linage,charge,close,racket,chase
COCO_train2014_000000010319.jpg,9,8,si,nsi,ssh,asp,4,g,rei,sq,lawn,rego
COCO_train2014_000000010342.jpg,sq,iq,jd,9,a,q,191,2,d,22,wing,southwest
COCO_train2014_000000010434.jpg,uscg,liszt,wry,usage,lurgy,linage,bay,insult,limply,lxvi,unicycle,ayss214
COCO_train2014_000000010716.jpg,mombasa,morass,moorish,mensa,monica,indonesia,monism,morose,monkish,moved,viaduct,mon
COCO_train2014_000000010727.jpg,ama,ana,rainier,rained,fainer,alma,rama,crimea,fina,camel,restaurant,polmer
COCO_train2014_000000010890.jpg,dan,dna,orin,ohm,pan,om,ann,pain,jan,din,garbage,pol
COCO_train2014_000000010907.jpg,220,tio,rio,1410,vic,mo,pto,1770,rao,120,computer,f90
COCO_train2014_000000011205.jpg,gb,cb,gp,ga,gs,tsp,lb,ge,8,e,vacuum,55
COCO_train2014_000000011292.jpg,eur,bi,est,eli,et,ear,eat,elf,ext,bit,military,exit
COCO_train2014_000000011519.jpg,sat,gar,sr,sap,sac,sf,spf,see,jar,sir,horse,saf
COCO_train2014_000000011569.jpg,beaded,acadia,nadia,headed,chandra,mended,casaba,radio,kendra,readied,streetcar,reading
COCO_train2014_000000011613.jpg,air,laity,bairn,calyx,cain,jain,dairy,balm,sabin,dir,ski,valley
COCO_train2014_000000011631.jpg,hornlike,morphine,mottling,soothing,hartline,neophilias,sparkling,hospitalize,deathlike,nothing,mountain,northline
COCO_train2014_000000012044.jpg,ny,any,my,wy,dry,dy,nw,nv,aw,avg,crayfish,pizza
COCO_train2014_000000012109.jpg,parking,parting,paring,paroling,parsing,pairing,panino,parring,panning,darling,parking,parking
COCO_train2014_000000012183.jpg,isis,33,53,lays,195,bb,1996,bsds,jays,by,warplane,679
COCO_train2014_000000012233.jpg,ass,358,439,sss,758,age,ese,sse,asl,css,motor,456
COCO_train2014_000000012418.jpg,typo,hypo,nypd,hyped,gpo,yo,byrd,byron,tyro,gyro,umbrella,fypo
COCO_train2014_000000012822.jpg,coo,fop,fog,eon,cog,eoe,foo,cod,ecg,coy,ski,e
COCO_train2014_000000012839.jpg,ga,gpa,ox,cyber,cpr,cox,ope,qr,ocr,qc,punching,gum
COCO_train2014_000000013176.jpg,is,vs,15,xs,ls,ts,zs,us,ivs,ss,dishwasher,s
COCO_train2014_000000013336.jpg,awn,alma,aim,minn,aux,nm,aunt,ama,ainu,audra,toilet,rinnai
COCO_train2014_000000013528.jpg,angeles,angles,angelica,angels,niggles,gaggles,anglers,anxieties,argyles,mercies,streetcar,angeles
COCO_train2014_000000013547.jpg,design,beseem,bessel,despoil,desired,bestow,osco,bench,bested,bisect,wardrobe,design
COCO_train2014_000000013636.jpg,nong,agni,nona,now,ion,hens,nm,agar,acing,nam,giant,sony
COCO_train2014_000000013715.jpg,ring,wing,king,icing,axing,lying,ming,using,aping,riling,tricycle,xing
COCO_train2014_000000013912.jpg,aux,wk,air,unix,mr,ajax,ink,xxix,mix,xxx,grocery,1753
COCO_train2014_000000013934.jpg,11,il,j,m,ii,d,i,u,1,sly,steam,11
COCO_train2014_000000013944.jpg,gas,sag,547,bxs,bass,bag,905,sass,las,jas,traffic,bas
COCO_train2014_000000013983.jpg,eur,fut,fur,jejune,cur,levine,tcwrc,flynt,em,jewry,bakery,exit
COCO_train2014_000000014319.jpg,g,8,c,e,9,q,4,o,3,0,rule,cakes
COCO_train2014_000000014484.jpg,rm,pine,pm,pme,rna,piaf,rue,ride,mi,rae,streetcar,rde
COCO_train2014_000000014537.jpg,dodder,plodder,dodgy,dodge,cloaca,dodson,deader,dodos,disobey,donor,ballplayer,dodger
COCO_train2014_000000014546.jpg,e,g,c,t,0,s,8,6,q,19,paddle,nsp
COCO_train2014_000000015289.jpg,tour,tole,toll,folk,iou,your,rout,role,foll,jolt,street,tour
COCO_train2014_000000015297.jpg,ky,ty,ny,sj,59,by,ry,dj,w,wy,space,piopat
COCO_train2014_000000015356.jpg,5a,ba,br,34,54,sr,ga,89,be,59,trolleybus,53
COCO_train2014_000000015816.jpg,bernardo,bernhardt,bismarck,barnyards,barmaids,bombards,bernbach,bemired,bewares,sephardi,crash,bernardo
COCO_train2014_000000015976.jpg,offensively,oversubtle,observational,dispensation,oversensitive,ostensibly,organization,obsessively,overweeningly,oversight,streetcar,stagecoach
COCO_train2014_000000016119.jpg,2011,2010,2076,zone,2002,zou,zoll,yowl,yong,dow,american,2012
COCO_train2014_000000016418.jpg,airlines,airplanes,affiliates,airliner,arums,archives,antilles,arrives,alpines,attunes,airliner,airlines
COCO_train2014_000000016486.jpg,oj,oi,of,os,1,ot,dj,or,g,cz,model,of
COCO_train2014_000000016547.jpg,25,19,pg,75,99,es,28,po,ress,26,ballplayer,29
COCO_train2014_000000016578.jpg,17,12,ny,az,nj,nz,n,m,w,y,traffic,42
COCO_train2014_000000016659.jpg,visages,diageo,hasps,usages,osages,dago,lilacs,usage,linage,visage,ballplayer,dodger
COCO_train2014_000000017226.jpg,758,8,236,rap,tab,fsf,705,tag,fob,b,warplane,46
COCO_train2014_000000017399.jpg,missile,musik,risk,mask,reissue,rusk,ask,invisible,triassic,disk,wall,1831
COCO_train2014_000000017578.jpg,erst,prat,brat,spat,yt,got,tit,prut,rot,grit,marimba,not
COCO_train2014_000000017839.jpg,leapfrogs,ligatures,temptress,loathes,hermitages,mattress,legatees,beatings,waitress,tacitness,maypole,tarmac
COCO_train2014_000000017938.jpg,ipad,tokyo,cobb,load,roars,legato,goats,noble,joao,1946,unicycle,oneill
COCO_train2014_000000018299.jpg,ci,ct,gi,ai,qt,qr,cr,oj,oi,cz,dining,pic
COCO_train2014_000000018370.jpg,isiah,ster,sick,star,lick,3th,bich,six,5th,sta,motor,steak
COCO_train2014_000000018702.jpg,mezzos,wackos,negros,marcos,macros,nachos,mikados,medicos,mariscos,negroes,warplane,nx
