image ,Object-1,P1,Object-2,P2,Object-2,P3,Object-2,P4,scene,p
COCO_train2014_000000000036.jpg,umbrella,0.99999297,0,0,0,0,0,0,playground,0.2719075084
COCO_train2014_000000000064.jpg,clock,0.992201,0,0,0,0,0,0,crosswalk,0.6778466105
COCO_train2014_000000000394.jpg,poodle,0.84919256,0,0,0,0,0,0,lawn,0.746003747
COCO_train2014_000000000542.jpg,warplane,0.8860627,parachute,0.10667605,0,0,0,0,deck,0.4412113726
COCO_train2014_000000000643.jpg,entertainment,0.93275654,0,0,0,0,0,0,office,0.4161667228
COCO_train2014_000000001204.jpg,rifle,0.70104474,helmet,0.1523945,rifle,0.10740171,0,0,gym,0.3792161047
COCO_train2014_000000001264.jpg,sunscreen,0.8326547,0,0,0,0,0,0,pantry,0.281358093
COCO_train2014_000000001308.jpg,paddle,0.9438219,0,0,0,0,0,0,wave,0.9468701482
COCO_train2014_000000001315.jpg,motor,0.934703,0,0,0,0,0,0,street,0.4487956166
COCO_train2014_000000001431.jpg,unicycle,0.97765917,0,0,0,0,0,0,promenade,0.380133003
COCO_train2014_000000001505.jpg,bell,0.9940701,0,0,0,0,0,0,courthouse,0.5646011829
COCO_train2014_000000001681.jpg,wall,0.64651144,clock,0.30106604,0,0,0,0,utility,0.3616533279
COCO_train2014_000000001815.jpg,racket,0.99686253,0,0,0,0,0,0,soccer,0.246520102
COCO_train2014_000000001875.jpg,backpack,0.9612833,0,0,0,0,0,0,street,0.3523164392
COCO_train2014_000000001911.jpg,dogsled,0.99998534,0,0,0,0,0,0,snowfield,0.2877127826
COCO_train2014_000000002007.jpg,racket,0.9986135,0,0,0,0,0,0,baseball,0.5717440248
COCO_train2014_000000002374.jpg,pizza,0.9999994,0,0,0,0,0,0,pizzeria,0.998662293
COCO_train2014_000000002377.jpg,airship,0.9921927,0,0,0,0,0,0,racecourse,0.6225508451
COCO_train2014_000000002466.jpg,plate,0.7299567,restaurant,0.20187365,0,0,0,0,pizzeria,0.6509643793
COCO_train2014_000000002567.jpg,volleyball,0.7236385,0,0,0,0,0,0,ballroom,0.9058309793
COCO_train2014_000000002623.jpg,lakeside,0.9817653,0,0,0,0,0,0,dam,0.2215926796
COCO_train2014_000000002658.jpg,basketball,0.41160226,basketball,0.16649404,soccer,0.11100481,0,0,gym,0.5059988499
COCO_train2014_000000002755.jpg,ballplayer,0.99773335,0,0,0,0,0,0,baseball,0.8810769916
COCO_train2014_000000002892.jpg,pomegranate,0.8571369,0,0,0,0,0,0,ice,0.244246006
COCO_train2014_000000002964.jpg,bottle,0.9962203,0,0,0,0,0,0,bar,0.370950371
COCO_train2014_000000003157.jpg,racket,0.99957544,0,0,0,0,0,0,stage,0.3984828293
COCO_train2014_000000003602.jpg,street,0.92224795,0,0,0,0,0,0,diner,0.253259927
COCO_train2014_000000003967.jpg,torch,0.9667313,0,0,0,0,0,0,street,0.3485569358
COCO_train2014_000000004138.jpg,unicycle,0.9999994,0,0,0,0,0,0,art,0.170273304
